CPAQuestions,SelectedOptionId,FormCategoryId,Category Name
Did you have any children that were under age 19 or were a full-time student under age 24 that had unearned income in excess of $2500?,2,0,Not Required
Did you or our spouse contribute any amounts to a Coverdell Education Savings Account or Qualified Education Program (Section 529) plan?,3,0,Not Required
Did you utilize any portion of your home for business use?,1,1870,Taxpayer's Driver License
"Provide us summary totals for any cash, property (non-cash), securities, etc. for contributions you or your spouse made to a charitable organization.    ",3,0,Not Required
Were you or your spouse notified or audited by the IRS or a State taxing agency?,2,0,Not Required
"Did you contribute money to a state 529 plan in your resident state?  (IL - Bright Start, Bright Directions, College Illinois)  If yes, please provide backup documentation.",1,3103,COLLEGE SAVINGS: Please provide documentation or amounts of contributions made to college savings plans such as 529 plans.
Did you or your spouse make payment to a pension or profit sharing plan this year or expect to make any payment next year?,2,0,Not Required
Please provide Form 1095-A,1,1881,Form 3921 - Exercise of Incentive Stock Options
Was the coverage obtained through the Marketplace?,1,1859,Business auto usage
"Did you incur moving expenses? If yes, please upload documentation of the expenses incurred related to the relocation.",2,0,Not Required
VT Residents: Have you provided us with a copy of your 2023 Property Tax Bill?,2,0,Not Required
Did you or your spouse pay any student loan interest this year?,3,0,Not Required
"Did you, your spouse, or any dependent enroll in Marketplace Health Care coverage this year? if Yes, please provide the Form 1095-A.",1,1862,Closing Statement
"Did you or your spouse rollover any amount from a retirement plan, annuity plan, tax shelter annuity, or deferred compensation plan to another retirement plan?",2,0,Not Required
Do you own and operate a sole proprietorship or single member LLC (filed on Sch C) or receive a 1099-NEC?,1,1850,1098-T (Education)
Did you take any distributions from an education saving plan such as a 529?,1,1833,Energy Efficient Improvements (Manufacturer's Certificate Statement/Receipt of purchase) 
Did you or your spouse receive any advance premium tax credits this year?,3,0,Not Required
"Did you make separate federal estimated tax payments for this activity? If so, upload a summary of the payments made.",3,0,Not Required
"Other than paycheck withholding, did you or your spouse pay any federal or state quarterly estimated tax payments for tax year 2023?  If yes, please fill out the tax payments worksheet in your Document Request List (DRL).",1,1895,Loan Closing Statement
Did you operate a business as a sole proprietorship or LLC?,1,1850,1098-T (Education)
"Did you incur moving expenses? If yes, please upload documentation of the expenses incurred related to the relocation.",2,0,Not Required
Did you or your spouse sell any securities not reported on Form 1099-B?,3,0,Not Required
Did you make any charitable donations?  (Other than QCD's paid directly from your IRA) ,1,1886,Other Tax Payments
Did you or your spouse take out a home equity loan this year?,3,0,Not Required
"Did you or your spouse withdraw any amounts from a Qualified Education Program (Section 529 Plan), Qualified Education Savings Account or Coverdell Education Savings Account?",3,0,Not Required
Did you or your spouse incur any expenses due to the adoption of a child? (mark N/A if previously answered),3,0,Not Required
"Did you receive any lump-sum payments from a pension, profit sharing or 401(k) plan? ",3,0,Not Required
Did you or your spouse make any gifts or contributions to any one entity or individual?,1,1886,Other Tax Payments
"Have either you or your spouse received correspondence from the IRS or State? Including, but not limited to, tax notices or an Identity Protection PIN (IP PIN).",3,0,Not Required
"Did you pay estimated taxes for tax year 2023? If yes, please upload documentation of the estimated tax payments.",1,1895,Loan Closing Statement
"If applicable, did you or your spouse receive unemployment compensation?",3,0,Not Required
"Did you receive any distributions from a Health Savings Account (HSA), Archer MSA, or Medicare Advantage MSA? ",3,0,Not Required
"34) Did you or your spouse contribute property (other than cash) to qualified 501(c)(3) charitable organizations? If yes, please provide details of donations.",3,0,Not Required
"Were any withdrawals due to a Federally declared disaster? If yes, a request to upload the document will appear in the ""Documents"" section of TaxCaddy.",2,0,Not Required
Did you or your spouse pay any student loan interest this year?,2,0,Not Required
Please provide additional detail / 1098-T.,1,1864,PPP Loan Details
"Did you have any other income, not related to a job you work or business you own? ",1,1857,Estimated Payment Supporting Documents
"Did you pay estimated taxes for tax year 2023? If yes, please upload documentation of the estimated tax payments.",1,1895,Loan Closing Statement
"Cryptocurrency - In 2023, did you or your spouse: (A) receive (as a reward, award, or compensation) or  (B) Sell, exchange, gift or otherwise dispose of a digital asset/cryptocurrency (or a financial interest in a digital asset)?",2,0,Not Required
Did you or your spouse receive interest or dividends?,1,1849,Estimated Tax Payments
"Did you or your spouse exercise any stock options or sell, gift or donate any ESPP shares?  Please provide all Forms 1099-B, 3921, 3922, and stock plan transactions supplement report. ",2,0,Not Required
"Did you or your spouse rollover any amount from a retirement plan, annuity plan, tax shelter annuity, or deferred compensation plan to another retirement plan?",3,0,Not Required
"If a new client, please provide a copy of the settlement statement for the purchase.",2,0,Not Required
Did you add any energy efficient home improvements?,1,3045,Foreign Retirement Statement
Do you have a new rental property this year?,2,0,Not Required
"Did you, your spouse, or a dependent incur any tuition expenses that are required to attend a college, university, or vocational school?",3,0,Not Required
"If you incurred moving expenses for military service related reasons, please upload documentation of the expenses incurred related to the relocation.",2,0,Not Required
"Did you or your spouse withdraw any funds from a retirement account such as an IRA, 401(k), or other pension plan? ",1,1851,Foreign Bank Account
"Could you please provide closing statements, if applicable?",1,1837,529/Coverdell Year End Statement 
Did you or your spouse receive any foreign income or pay any foreign taxes?,1,1865,Documents for dependent or other person
"If applicable, did you or your spouse receive unemployment compensation?",1,1981,Form 1099-S (Real Estate)
Did you or your spouse ever use any portion of the home for business purposes?,2,0,Not Required
Did you or your spouse contribute to an HSA?,1,1839,Large Retail Purchase (Bill of Sale)
Did you or your spouse pay any student loan interest this year?,2,0,Not Required
"Did you make payment to a retirement plan (IRA, SEP, SIMPLE or any other retirement plan) this year? If yes, please upload all Forms 5498 or other tax information.",1,1838,Electric Vehicle (Manufacturer's certification and bill of sale)
"If you purchased your Healthcare coverage through the Healthcare Marketplace, we will not be able to file without Form 1095-A.  Please provide. Otherwise, select N/A for this question.",1,1859,Business auto usage
"If applicable, did you or your spouse receive unemployment compensation?",2,0,Not Required
Did you or your spouse pay any student loan interest this year?,2,0,Not Required
"Did you pay estimated taxes for tax year 2023? If yes, please upload documentation of the estimated tax payments.",2,0,Not Required
"Did you or your spouse receive payment from a retirement (401(k), IRA, SEP, SIMPLE, or any other retirement plan) this year?",1,1851,Foreign Bank Account
"ALTERNATIVE ENERGY: Did you install any alternative energy equipment or make any energy efficient improvements in your primary residence (main home) such as solar water heaters, solar electricity equipment (photovoltaic), fuel cells, exterior doors, windows, central ACs, heat pumps, etc. in 2023?",2,0,Not Required
"Did you engage in any of the following in crypto activities in the tax year: (A) Sold cryptocurrency (or NFTs) and received cash, or traded cryptocurrency (or NFTs) for another cryptocurrency (or NFTs); (B) Spent cryptocurrency to purchase goods or services; (C) Received cryptocurrency through wages, interest income, airdrops, hard forks, mining or other rewards; (D) Received and/or sent cryptocurrency as a gift; (E) Purchased cryptocurrency using USD/EUR/OTHER; (F) Transferred cryptocurrency between your own wallets & exchange accounts; (G) Disposed of ""financial interest"" in digital assets?",2,0,Not Required
"Did you or your spouse pay for child care while you worked, looked for work, or were a full-time student?",1,1863,Unreimbursed Business Expenses
"Did you or your dependents have qualified expenses for post-secondary education, including tuition and related expenses?",1,1864,PPP Loan Details
Did you or your spouse pay any student loan interest this year?,1,1845,Unemployment (1099-G)
"Upload both Control D reports for 12-31, summary of expense, and year-end business bank and loan balances.",1,1854,1099-G
"If applicable, did you or your spouse receive unemployment compensation?",2,0,Not Required
Include Form(s) 1099-SA,3,0,Not Required
Did you or your spouse pay any individual $2100 or more in household employee wages?,2,0,Not Required
Did you receive any Social Security benefits during the year?,3,0,Not Required
Do you have any Medical or Dental Expenses?,3,0,Not Required
"Did you or your spouse sell, exchange, or purchase any real estate?",3,0,Not Required
Did you or your spouse pay any student loan interest this year?,1,1845,Unemployment (1099-G)
Did you utilize any portion of your home for business use?,2,0,Not Required
"Did your spouse receive deferred, retirement, or severance compensation? If yes, please upload all Forms 1099-R or other documentation of amount or payor details.",3,0,Not Required
Did you or your spouse contribute to a Roth IRA or convert an existing IRA into a Roth IRA?,3,0,Not Required
"Did you get your health insurance through the Federal Marketplace (HealthCare.gov) or a State Marketplace?  If yes, a copy of Form 1095-A is required . ",2,0,Not Required
"Did you, your spouse, or your dependents incur any post-secondary education expense, such as tuition?",2,0,Not Required
Did you purchase or sell your primary residence?,2,0,Not Required
"Did you or your spouse receive payment from a retirement (401(k), 403b, IRA, SEP, SIMPLE, or any other retirement plan) this year?",1,1851,Foreign Bank Account
"Did you or your spouse receive retirement income (pensions, annuities, 401k/IRA distributions, etc.)?",1,1851,Foreign Bank Account
Did you purchase or sell your primary residence?,1,1837,529/Coverdell Year End Statement 
Do you have any medical or dental expenses to report?,1,1881,Form 3921 - Exercise of Incentive Stock Options
"Did you pay estimated taxes for tax year 2023? If yes, please upload documentation of the estimated tax payments.",1,1895,Loan Closing Statement
Did you or your spouse pay any student loan interest this year?,3,0,Not Required
"STOCK OPTIONS: Did you/spouse exercise any stock options during 2023?  If so, upload copies of documentation and details (grant date, vesting date, exercise date, grant price, exercise prices, option type, etc.)",1,3197,0
Can you or your spouse be claimed as a dependent by another taxpayer?,3,0,Not Required
Did you make any contributions to or take distributions from a Health Savings Account?,2,0,Not Required
"Is this your first time receiving a statement from this crypto exchange?  If yes, a request to upload the statement(s) will appear in the ""Documents"" section of TaxCaddy.",2,0,Not Required
"Did you, your spouse, or your dependents incur any post-secondary education expenses such as tuition?",2,0,Not Required
Do you or your spouse have an IRS-issued Identity Protection PIN (IP PIN)? ,2,0,Not Required
Do you or your spouse have a Health Savings Account?,2,0,Not Required
"Has the IRS or state issued you or your spouse an identity theft protection PIN? If yes, please provide a copy of the letter.",2,0,Not Required
"Did you or your spouse contribute to a retirement plan (401(k), IRA, Roth IRA, SEP, SIMPLE, defined benefit, or any other retirement plan) that is not reflected on any IRS forms?",2,0,Not Required
"Did you, your spouse, and dependents (if applicable) have full year healthcare coverage?",1,1860,Home office
"CRYPTOCURRENCY: Did you/spouse buy, sell, or exchange any cryptocurrencies in 2023? This includes trading any derivative contracts for those currencies and exchanging them for any goods or services.",2,0,Not Required
Did you refinance your primary residence or any other real estate properties?,2,0,Not Required
Provide the 1099-SA and 5498-SA for the Health Savings Account.,1,1844,Rental Income & Expenses (Per Property)
Did you get your health insurance through the Federal Marketplace (HealthCare.gov) or a State Marketplace? ,2,0,Not Required
Did you or your spouse ever use any portion of the home for business purposes?,1,1870,Taxpayer's Driver License
"Did you incur moving expenses? If yes, please upload documentation of the expenses incurred related to the relocation.",3,0,Not Required
"Did you or a dependent incur tuition expenses for college/university or vocational school? If so, please provide form 1098T. ",1,1864,PPP Loan Details
"Did you pay for child care while you worked, looked for work, or while a  full-time student?",2,0,Not Required
"Did you make any FEDERAL Estimated Tax Payments for 2023?  If yes, please provide the amounts(s) and date(s) for each payment in the ""Document Request List."" ",1,3022,Business Expense Organizer excel file
"Did you or your spouse make payment to a retirement plan (401(k), IRA, SEP, SIMPLE, or any other retirement plan) this year?",2,0,Not Required
"Did you make any cash or noncash charitable contributions (clothes, furniture, etc.)? If yes, please provide evidence such as a receipt from the donee organization, canceled check, or record of payment, to substantiate all contributions made.",1,1886,Other Tax Payments
 Include Form(s) 1098-T,2,0,Not Required
Did you or your spouse make any charitable contributions?,1,1886,Other Tax Payments
Did you or your spouse receive any foreign income or pay any foreign taxes?,2,0,Not Required
Please upload supporting documentation of transaction(s).,1,1854,1099-G
"Did you incur moving expenses? If yes, please upload documentation of the expenses incurred related to the relocation.",2,0,Not Required
"Did you or your spouse pay for child care while you worked, looked for work, or were a full-time student?",2,0,Not Required
Did you purchase or sell your primary residence?,3,0,Not Required
Did you receive any Social Security benefits during the year?,2,0,Not Required
"Did you incur moving expenses? If yes, please upload documentation of the expenses incurred related to the relocation.",3,0,Not Required
"Did your Schedule C business or Schedule F farm receive a Paycheck Protection Program (PPP) loan?  If your loan was forgiven in 2023, provide details of the amount of loan forgiven including the forgiveness response from your lender.",1,2968,Extension forms
"Did you or your spouse rollover any amount from a retirement plan, annuity plan, tax shelter annuity, or deferred compensation plan to another retirement plan?",1,1851,Foreign Bank Account
"Did you sell, exchange, or purchase any other real estate during the year?",1,1854,1099-G
"Did you or your spouse receive deferred, retirement, or severance compensation?",1,1851,Foreign Bank Account
Did you or your spouse receive any foreign income or pay any foreign taxes?,1,1865,Documents for dependent or other person
"Did you pay property taxes on your primary, secondary residence(s), and/or investment property DURING 2023 (this may include payments made in 2023 for previous year(s)? IF YES, upload your property tax bill or payment receipt(s) showing amounts/dates paid IN 2023.",2,0,Not Required
"Did you or your spouse receive deferred, retirement, or severance compensation?",1,1851,Foreign Bank Account
Did you purchase an electric or hybrid electric vehicle this year?,2,0,Not Required
"Real Estate Taxes - Do you own your own home, mountain land, second residence, etc.?",3,0,Not Required
"Did you or your spouse pay any individual $2,100 or more in household employee wages?",2,0,Not Required
"Did you sell, exchange, or purchase any other real estate during the year (2nd home, investment property, land, etc)?",2,0,Not Required
"Did you have any educational expenses during the year on behalf of yourself, your spouse, or a dependent?",2,0,Not Required
"Did you pay estimated taxes for tax year 2023? If yes, please upload documentation of the estimated tax payments.",1,1895,Loan Closing Statement
"Did you or your spouse receive an Identity Theft Protection PIN (IP PIN) from the IRS? (If so, please provide CP01A Notice)",2,0,Not Required
"Did you incur moving expenses? If yes, please upload documentation of the expenses incurred related to the relocation.",2,0,Not Required
Did you purchase rental or royalty property?,2,0,Not Required
Did you or your spouse take out a home equity loan this year?,2,0,Not Required
"Did you receive any pass-through income from S-corporations, partnerships, estates, or trusts?",2,0,Not Required
"On property sold, did you receive installment payments?",3,0,Not Required
"Did you or your spouse receive wages during the year? If yes, please upload all Forms W-2.",1,1848,Voided Check
Did you or your spouse make estimated federal or state tax payments? ,1,1289,1095-C (Employer-Provided Health Coverage)
"Did you, your spouse, or a dependent obtain healthcare coverage through Marketplace?",2,0,Not Required
Did you or your spouse make any non-cash donations?  ,3,0,Not Required
Please provide W-2s for all household employees. ,3,0,Not Required
"Provide us summary totals for any cash, property (non-cash), securities, etc. for contributions you or your spouse made to a charitable organization.    ",2,0,Not Required
"Did you, your spouse, or any dependent receive healthcare coverage through the Marketplace (i.e. MNSure) in 2023?",3,0,Not Required
Did you receive Form 1099-S?,2,0,Not Required
Did you pay mortgage Interest?,2,0,Not Required
Are you or your wife receiving social security?,1,1830,1099-G (Unemployment)
Did you refinance your primary residence?,2,0,Not Required
Did you make any qualified chartitable distributions (QCDs) during the year?,2,0,Not Required
Did you make any purchases or improvements for an energy-efficient vehicle or home?,2,0,Not Required
"Did you or your spouse pay for child care while you worked, looked for work, or were a full-time student?",1,1863,Unreimbursed Business Expenses
"Did you or your spouse receive income through any of the following methods ( prize money, gambling winnings, etc.)?",1,1835,Cancelled/Forgiven Debt (1099-C)
"Did you pay estimated taxes for tax year 2023? If yes, please upload documentation of the estimated tax payments.",2,0,Not Required
"Did you or your spouse make payment to an IRA (Traditional, Roth, SEP, SIMPLE) this year?",1,1854,1099-G
"Did you acquire a new interest in a partnership, S corporation, or trust?",3,0,Not Required
Did you refinance any real property this year?,2,0,Not Required
Did you or your spouse make any cash contributions during the year?,3,0,Not Required
Did you operate a rental property for all of or a portion of 2023?,1,1852,Form 8332
Did you receive interest or dividends from any bank or brokerage account(s)?,2,0,Not Required
"Did you make any cash or noncash charitable contributions (clothes, furniture, etc.)? If yes, please provide evidence such as a receipt from the donee organization, a canceled check, or other records of payment to substantiate all contributions made.",1,1886,Other Tax Payments
"Did you incur moving expenses? If yes, please upload documentation of the expenses incurred related to the relocation.",1,1841,IRS/State Notices
"Did you sell over $1,000 worth of goods or services over any of these platforms listed above?",1,3102,CHILD CARE: Please provide documentation or amounts paid for child care
"Did you or your spouse refinance your primary residence? If yes, please upload the closing statement.",2,0,Not Required
"Do you own a foreign bank or trust account that had a balance that exceeded $10,000 at any time last year? (If yes, please provide the bank statement(s) for each relevant account(s) that contains the highest balance for the year.)",2,0,Not Required
"Did you or your spouse sell, exchange, or purchase any real estate?",1,1837,529/Coverdell Year End Statement 
Itemized Deductions - Did you have any significant medical or dental expenses in 2023?,2,0,Not Required
Did you start a self employed business venture in 2022,2,0,Not Required
"Did you, your spouse, or any dependent receive healthcare coverage this year through the Marketplace?",3,0,Not Required
"Did you have any debts canceled or forgiven this year, such as a home mortgage or student loan(s)?  ",3,0,Not Required
"Do you own an interest in a partnership, multiple member LLC, or S-Corporation?",1,1892,Settlement Statement (HUD) 
Did you or your spouse pay any student loan interest this year?,1,1845,Unemployment (1099-G)
"Did you or your spouse pay any individual $2,600 or more in household employee wages during the year for domestic services performed in or around your home?",2,0,Not Required
"Did you pay estimated taxes for tax year 2023? If yes, please upload documentation of the estimated tax payments.",1,1895,Loan Closing Statement
ELECTRIC VEHICLE: In 2023 did you/spouse purchase and take possession of a new alternative-powered vehicle (e.g. electric/battery powered) that was not intended for resale?,3,0,Not Required
"Did you sell an existing business, rental, or other property this year?  If yes, please provide relevant Closing Documents.",2,0,Not Required
Did you or your spouse have any children that were under age 19 or were a full-time student under age 24 that had unearned income in excess of $1250?,3,0,Not Required
"Could you please upload the 1099-S?  You should see a request for ""Other Gains & Losses"" in your account.",1,1836,"Cyrpto Transaction(s) Detail  (Form 8949, Excel spreadsheet of transactions,  Schedule D)"
Did you make any estimated payments for the tax year 2023?,3,0,Not Required
"Did you pay estimated taxes for tax year 2023? If yes, please upload documentation of the estimated tax payments.",1,1895,Loan Closing Statement
"Did you own any assets abroad in 2023? If so, please provide detail in the document section. ",1,1890,ABLE Account 1099QA / 5498-QA
Did you receive a distribution from an Education Savings Account or a Qualified Tuition Program?,1,1833,Energy Efficient Improvements (Manufacturer's Certificate Statement/Receipt of purchase) 
Did you or your spouse receive any foreign income or pay any foreign taxes?,3,0,Not Required
Did you or your spouse  make student loan payments? ,2,0,Not Required
"Did you or your spouse pay real or personal property taxes during the year? If yes, please upload tax statements and/or a list of property taxes paid in 2023.",1,1883,1099-G Unemployment Compensation
"Did you sell, exchange, or purchase any other real estate during the year?",2,0,Not Required
Did you or your spouse contribute to an HSA account?,1,1839,Large Retail Purchase (Bill of Sale)
"Did you or your spouse make any cash donations to qualified 501(c)(3) charitable organizations? If yes, provide the name of the organization and the dollar amount of the donations.",2,0,Not Required
"Did your business file all required Forms W-2 and W-3 with the Social Security Administration (SSA) on or before the 60th day after the due date (including extensions) for such return? If yes, provide a copy of all Forms W-3 filed with the SSA.",1,3465,0
Have you or your spouse sold a principal residence within the last two years?,2,0,Not Required
"Did you or your spouse receive deferred, retirement, or severance compensation?",1,1851,Foreign Bank Account
"Do you or your spouse have foreign bank accounts? If yes, please provide information on the bank accounts, including the highest bank account balance in 2023. ",1,1889,529 Contribution Documentation
"Did you receive any awards, prizes, hobby income, gambling or lottery winnings?",2,0,Not Required
Did you receive Social Security Benefits in 2023?,2,0,Not Required
"Did you incur moving expenses? If yes, please upload documentation of the expenses incurred related to the relocation.",3,0,Not Required
Did you or your spouse buy or sell stocks or mutual funds? ,1,1247,1099-MISC (Misc. Income)
"Did you, your spouse, or any dependent receive healthcare coverage this year?",3,0,Not Required
"Answer ""Yes"" if you purchased a home and ""No"" if you are Renting",1,1837,529/Coverdell Year End Statement 
Did you or your spouse make any cash charitable contributions?,2,0,Not Required
Did you or your spouse incur any expenses due to the adoption of a child? ,1,3032,Details for Loan with below market interest
"Did you, your spouse, or dependents receive an Identity Protection PIN (IP PIN) for the year?  These are issued by mail if you were a victim of identity theft in a previous year or requested the IRS to issue the PIN as additional security for your tax account. ",3,0,Not Required
Did you or your spouse pay any student loan interest this year?,1,1845,Unemployment (1099-G)
"Did you pay any mortgage interest on an existing home loan? If yes, attach any Form(s) 1098 you received.",2,0,Not Required
"Did you or your spouse make any Sec. 529 contributions during the year? If yes, please upload your year-end summary statement or provide a listing of amounts, beneficiaries, name of plan and account number.",2,0,Not Required
"You indicated retirement contributions or distributions for this year, did you or your spouse receive deferred, retirement, or severance compensation?",3,0,Not Required
Did you or your spouse pay any student loan interest this year? Please provide all form 1098-E's.,3,0,Not Required
"Did you make any donations of goods (noncash donations) to charity (e.g. Goodwill, etc.)? You must have receipts and a value must be provided on the receipt. For any individual donation in excess of $500, please provide the date the item(s) was acquired, the original acquisition cost and how the item was acquired. Receipts provided without this information will not be reported on your tax return.",1,1887,State and Local Notices
"Did you pay estimated taxes for tax year 2023? If yes, please upload documentation of the estimated tax payments.",2,0,Not Required
"Did you sell, exchange, or purchase any other real estate during the year?",1,1837,529/Coverdell Year End Statement 
Did you or your spouse pay any student loan interest this year?,2,0,Not Required
Did you or your spouse receive unemployment compensation?,1,1832,1099-G (Unemployment Income)
Do you have a non-U.S. pension plan?,1,3236,0
HOME MORTGAGE: Did you/spouse take out a home equity loan (HELOC) during 2023?,1,3202,0
"Did you make any cash or noncash charitable contributions (clothes, furniture, etc.)? If Yes, please provide evidence such as a receipt for any contribution greater than $250.",3,0,Not Required
"If you are divorced or separated with child(ren), do you have a divorce decree or other form of separation agreement which establishes custodial responsibilities?",2,0,Not Required
Did you or your spouse receive payment from a pension or profit sharing plan this year or expect to receive any payment next year?,2,0,Not Required
"Did you receive any Medicaid waiver payments as ""difficulty of care"" during the year?",2,0,Not Required
"Did you sell, exchange, or purchase any other non-rental real estate during the year?",2,0,Not Required
"Did you, your spouse, or any dependent have health insurance through the Marketplace?",1,1859,Business auto usage
"Did you receive Form 1099-S? If Yes, include Form 1099-S.",1,1854,1099-G
"Do you or your spouse utilize any portion of your home solely for business use?   If yes, please upload a document in the ""Document Request List"" that provides the square feet of exclusive business space, the total square feet of your home, and expenses related to business use (examples:  real estate taxes, mortgage interest, utilities, insurance, repairs, improvements)  ",1,1870,Taxpayer's Driver License
"Did you make any STATE Estimated Tax Payments for 2023?  If yes, please provide the amounts(s) and date(s) for each payment in the ""Document Request List."" ",3,0,Not Required
Were you or your spouse notified by the IRS or other taxing authority of any changes in prior year returns?,2,0,Not Required
Did you or your spouse withdraw any amounts from a Coverdell Education Savings Account or Qualified Education Program (Section 529) plan?,3,0,Not Required
"Did you or your spouse receive income from deferred compensation plans, retirement plans  (including payments from pensions, 401(k)s, IRAs, SEP or SIMPLE plans) , severance compensation or profit-sharing plans?  If yes, please provide copies of all 1099-Rs and/or W-2s received",1,1851,Foreign Bank Account
"Did you pay out-of-pocket medical expenses (Co-pays, prescription drugs, etc.)?",3,0,Not Required
How much did you contribute in 2023?  If you received a distribution please upload the 1099Q.,1,1833,Energy Efficient Improvements (Manufacturer's Certificate Statement/Receipt of purchase) 
Were you or your spouse notified or audited by the IRS or a State taxing agency?,2,0,Not Required
Did you incur any child care expenses for a dependent who was under age 13 that enabled you to work?,3,0,Not Required
Did you or your spouse receive a Personal Identification Number (PIN) from any federal or state taxing authorities?,2,0,Not Required
"Did you pay estimated taxes for tax year 2023? If yes, please upload documentation of the estimated tax payments.",3,0,Not Required
Did you make any purchases or improvements for an energy-efficient vehicle or home?,3,0,Not Required
"Did you, your spouse, or any dependent(s) receive Health Insurance Marketplace Statement Form 1095-A? If yes please upload it with your documents.",3,0,Not Required
"Did you, your spouse, or a dependent incur any tuition expenses that are required to attend a college, university, or vocational school? If so, please provide a detailed list of your expenditures and a copy of the 1098-T form from the university.",2,0,Not Required
"Other than paycheck withholding, did you or your spouse pay any federal or state quarterly estimated tax payments for tax year 2023?  If yes, please fill out the tax payments worksheet in your Document Request List (DRL).",1,1895,Loan Closing Statement
Did you or your spouse pay any student loan interest this year?,1,1268,Other Adjustments
Please provide Forms 1099-NEC.,1,1857,Estimated Payment Supporting Documents
"Did you or your spouse RECEIVE deferred, retirement, or severance compensation?",3,0,Not Required
"Did you sell, exchange, or purchase any other real estate during the year? If yes, please provide the closing statement.",1,2965,Stock Sales Supplement Form From Institution (RSU/ISO/ESPP)
"Did you pay estimated taxes for tax year 2023? If yes, please upload documentation of the estimated tax payments.",3,0,Not Required
Did you purchase or sell your primary residence?,1,1837,529/Coverdell Year End Statement 
Did you or your spouse pay any student loan interest this year?,1,1845,Unemployment (1099-G)
"Did you or your spouse pay for child care while you worked, looked for work, or were a full-time student?",2,0,Not Required
"Did you refinance any of the properties in 2023 or was your mortgage transferred to/acquired by a new lender? (If yes, there may be multiple 1098 forms issued to you for 2023).",1,1875,Home Purchase Disclosure
"If ""Yes"" to any of the following questions, please answer ""Yes"" - During the year did you or your spouse have any interest or authority over any foreign bank or foreign financial account?  Did you have over 10% ownership interest in any foreign business or entity?   Do you own foreign assets (excluding directly held real estate) that exceeded $50,000 in aggregate value at any time during the year? Did you or your spouse receive any gifts or inheritances of more than $100,000 from a foreign person or estate or trust?",2,0,Not Required
"If you are divorced or separated with child(ren), do you have a divorce decree or other form of separation agreement which establishes custodial responsibilities?",1,1854,1099-G
"Did you incur medical expenses in excess of 7.5% of your total income last year? If you have provided substantial medical expenses in a prior year, please answer 'No.' You will already have a fillable form for medical expenses on the Document Request List tab.",3,0,Not Required
Did you or your spouse receive payment from a pension or profit sharing plan this year or expect to receive any payment next year?,1,1851,Foreign Bank Account
Did you or your spouse pay any student loan interest this year?,3,0,Not Required
"Did you, your spouse, or any dependent receive healthcare coverage this year from the marketplace?",2,0,Not Required
"Did you or your spouse receive a distribution from a retirement or pension plan? (401(k), IRA, SEP, SIMPLE, or any other retirement plan) ",1,1851,Foreign Bank Account
"Did you or your spouse receive income through any of the following methods (bartering transactions, tips, prize money, gambling winnings, etc.)",2,0,Not Required
Did you or your spouse pay for child or dependent care during the past year? ,2,0,Not Required
Did you or your spouse incur any expenses due to the adoption of a child? ,2,0,Not Required
Were you or your spouse notified by the IRS or other taxing authority of any changes in prior year returns?,2,0,Not Required
"If yes, please upload evidence of payments (cancelled checks or online payment confirmations)",3,0,Not Required
"Did you pay estimated taxes for tax year 2023? If yes, please upload documentation of the estimated tax payments.",2,0,Not Required
"Did you provide prior year tax return? If not, please provide.",1,1847,1099-R (Retirement Rollover)
Did you make any purchases or improvements for an energy-efficient vehicle or home?,3,0,Not Required
Did you make any purchases or improvements for an energy-efficient vehicle or home?,1,1862,Closing Statement
"If yes, please provide copies of all 1099-R received ",1,1851,Foreign Bank Account
Did you or your spouse pay any student loan interest this year?,2,0,Not Required
Did you utilize any portion of your home for business use?,2,0,Not Required
"Did you or your spouse have income and expenses from rental real estate activities? If yes, please upload a summary of rental income and relevant expense incurred to generate the income.",1,1852,Form 8332
Did you make any qualified chartitable distributions (QCDs) during the year?,1,3000,Alternative Energy documentation
Did you or your spouse receive any distributions from an MSA?,1,1844,Rental Income & Expenses (Per Property)
"If you are divorced or separated with child(ren), do you have a divorce decree or other form of separation agreement which establishes custodial responsibilities?",1,1854,1099-G
"Did you pay federal or state estimated taxes for tax year 2023? If yes, please upload documentation of the estimated tax payments, including amounts and dates.",3,0,Not Required
"Did you have a financial interest in or signature authority over a financial account such as a bank, securities, or brokerage account, located in a foreign country?  Please provide details, if so.",2,0,Not Required
"Did you or your spouse convert part or all of your traditional, SEP, or SIMPLE IRA to a Roth IRA in 2023? If yes, please provide documentation.",3,0,Not Required
"Did you receive payment from a pension or profit sharing plan this year or expect to receive any payment next year? If yes, please upload documentation.",2,0,Not Required
Do you or your spouse have an IRS-issued Identity Protection PIN (IP PIN)? Provide copy of current year letter(s) from IRS.,2,0,Not Required
Did you or your spouse receive payment from a pension or profit sharing plan this year or expect to receive any payment next year?,2,0,Not Required
Was your coverage obtained through the Marketplace?,3,0,Not Required
Did you have estimated tax payments? ,3,0,Not Required
"Did you or your spouse receive payment from a retirement (401(k), IRA, SEP, SIMPLE, or any other retirement plan) this year?",1,1851,Foreign Bank Account
Did you or your spouse have any transactions pertaining to a medical savings account (MSA)?,3,0,Not Required
Did you or your spouse receive unemployment? ,1,2837,IRS IP PIN Letter
Did you or your spouse receive any income considered to be nonemployee compensation?,2,0,Not Required
"Did you, or do you plan to, contribute money before April 15, 2024 to an HSA (health savings account) for 2023?",2,0,Not Required
Did you or your spouse receive payment from a pension or profit sharing plan this year or expect to receive any payment next year?,1,1851,Foreign Bank Account
